"","AdmArea","Month","Year","TotalAmount"
"241","Центральный административный округ","Февраль",2018,1247523024.93
"242","Северный административный округ","Февраль",2018,1668723347.52
"243","Северо-Восточный административный округ","Февраль",2018,1892090625.7
"244","Восточный административный округ","Февраль",2018,2079355848.66
"245","Юго-Восточный административный округ","Февраль",2018,1980387049.43
"246","Южный административный округ","Февраль",2018,2222047455.51
"247","Юго-Западный административный округ","Февраль",2018,2065245120.58
"248","Западный административный округ","Февраль",2018,1665740631.71
"249","Северо-Западный административный округ","Февраль",2018,1216452851.99
"250","Зеленоградский административный округ","Февраль",2018,401458771.12
"251","Новомосковский административный округ","Февраль",2018,237545530.26
"252","Троицкий административный округ","Февраль",2018,98505288.13
"253","Центральный административный округ","Январь",2018,1255932407.09
"254","Северный административный округ","Январь",2018,1668939491.04
"255","Северо-Восточный административный округ","Январь",2018,1921247502.3
"256","Восточный административный округ","Январь",2018,2109064499.43
"257","Юго-Восточный административный округ","Январь",2018,1998495345.4
"258","Южный административный округ","Январь",2018,2232401895.58
"259","Юго-Западный административный округ","Январь",2018,2062730416.51
"260","Западный административный округ","Январь",2018,1690846628.62
"261","Северо-Западный административный округ","Январь",2018,1234697415.7
"262","Зеленоградский административный округ","Январь",2018,397195626.33
"263","Новомосковский административный округ","Январь",2018,226105736.09
"264","Троицкий административный округ","Январь",2018,90650655.14
"265","Центральный административный округ","Февраль",2019,1318968869
"266","Северный административный округ","Февраль",2019,1831562119.51
"267","Северо-Восточный административный округ","Февраль",2019,2072768012.22
"268","Восточный административный округ","Февраль",2019,2271854463.85
"269","Юго-Восточный административный округ","Февраль",2019,2175699593.46
"270","Южный административный округ","Февраль",2019,2396176820.88
"271","Юго-Западный административный округ","Февраль",2019,2264748489.03
"272","Западный административный округ","Февраль",2019,1825240567.21
"273","Северо-Западный административный округ","Февраль",2019,1331422403.3
"274","Зеленоградский административный округ","Февраль",2019,418664096.17
"275","Новомосковский административный округ","Февраль",2019,266425316.12
"276","Троицкий административный округ","Февраль",2019,118886503.01
"277","Центральный административный округ","Сентябрь",2017,1212037226.66
"278","Северный административный округ","Сентябрь",2017,1599651230.45
"279","Северо-Восточный административный округ","Сентябрь",2017,1825393711.28
"280","Восточный административный округ","Сентябрь",2017,2021715676.69
"281","Юго-Восточный административный округ","Сентябрь",2017,1920471981.04
"282","Южный административный округ","Сентябрь",2017,2132354503.21
"283","Юго-Западный административный округ","Сентябрь",2017,1989465537.15
"284","Западный административный округ","Сентябрь",2017,1613406224.97
"285","Северо-Западный административный округ","Сентябрь",2017,1191076213.79
"286","Зеленоградский административный округ","Сентябрь",2017,380241389.96
"287","Новомосковский административный округ","Сентябрь",2017,192882088.49
"288","Троицкий административный округ","Сентябрь",2017,68419219.56
"289","Центральный административный округ","Ноябрь",2018,1249987014.8
"290","Северный административный округ","Ноябрь",2018,1673224959.09
"291","Северо-Восточный административный округ","Ноябрь",2018,1894486071.97
"292","Восточный административный округ","Ноябрь",2018,2092427109.98
"293","Юго-Восточный административный округ","Ноябрь",2018,1983609669.54
"294","Южный административный округ","Ноябрь",2018,2198533692.09
"295","Юго-Западный административный округ","Ноябрь",2018,2042801505.5
"296","Западный административный округ","Ноябрь",2018,1686486992.73
"297","Северо-Западный административный округ","Ноябрь",2018,1214616616.74
"298","Зеленоградский административный округ","Ноябрь",2018,389147262
"299","Новомосковский административный округ","Ноябрь",2018,241460571.6
"300","Троицкий административный округ","Ноябрь",2018,109243394.1
"301","Центральный административный округ","Октябрь",2018,1236657418.57
"302","Северный административный округ","Октябрь",2018,1624493333.31
"303","Северо-Восточный административный округ","Октябрь",2018,1877699041.02
"304","Восточный административный округ","Октябрь",2018,2068348755.65
"305","Юго-Восточный административный округ","Октябрь",2018,1950688805.54
"306","Южный административный округ","Октябрь",2018,2174406101.5
"307","Юго-Западный административный округ","Октябрь",2018,2028891415.74
"308","Западный административный округ","Октябрь",2018,1662831530.4
"309","Северо-Западный административный округ","Октябрь",2018,1197152952.5
"310","Зеленоградский административный округ","Октябрь",2018,384574488
"311","Новомосковский административный округ","Октябрь",2018,218093852.81
"312","Троицкий административный округ","Октябрь",2018,75576692.79
"313","Центральный административный округ","Сентябрь",2018,1221825452.9
"314","Северный административный округ","Сентябрь",2018,1596048024.01
"315","Северо-Восточный административный округ","Сентябрь",2018,1838610437.11
"316","Восточный административный округ","Сентябрь",2018,2019425369.08
"317","Юго-Восточный административный округ","Сентябрь",2018,1913392216.9
"318","Южный административный округ","Сентябрь",2018,2123933799.83
"319","Юго-Западный административный округ","Сентябрь",2018,1987505983.74
"320","Западный административный округ","Сентябрь",2018,1620464790.6
"321","Северо-Западный административный округ","Сентябрь",2018,1171078817.72
"322","Зеленоградский административный округ","Сентябрь",2018,377608395.87
"323","Новомосковский административный округ","Сентябрь",2018,212704550.32
"324","Троицкий административный округ","Сентябрь",2018,67971642.79
"325","Центральный административный округ","Декабрь",2018,1250072335
"326","Северный административный округ","Декабрь",2018,1679943518
"327","Северо-Восточный административный округ","Декабрь",2018,1917608426
"328","Восточный административный округ","Декабрь",2018,2112882335
"329","Юго-Восточный административный округ","Декабрь",2018,2011629946
"330","Южный административный округ","Декабрь",2018,2228433620
"331","Юго-Западный административный округ","Декабрь",2018,2066685188
"332","Западный административный округ","Декабрь",2018,1711436294
"333","Северо-Западный административный округ","Декабрь",2018,1228750067
"334","Зеленоградский административный округ","Декабрь",2018,398673356
"335","Новомосковский административный округ","Декабрь",2018,222857178
"336","Троицкий административный округ","Декабрь",2018,89263910
"337","Центральный административный округ","Ноябрь",2017,1248661932
"338","Северный административный округ","Ноябрь",2017,1665855711
"339","Северо-Восточный административный округ","Ноябрь",2017,1899191640
"340","Восточный административный округ","Ноябрь",2017,2083021041
"341","Юго-Восточный административный округ","Ноябрь",2017,1996510786
"342","Южный административный округ","Ноябрь",2017,2228625581
"343","Юго-Западный административный округ","Ноябрь",2017,2049736736
"344","Западный административный округ","Ноябрь",2017,1690447740
"345","Северо-Западный административный округ","Ноябрь",2017,1221060573
"346","Зеленоградский административный округ","Ноябрь",2017,392745739
"347","Новомосковский административный округ","Ноябрь",2017,217172886
"348","Троицкий административный округ","Ноябрь",2017,84779580
"349","Центральный административный округ","Октябрь",2017,1233226017
"350","Северный административный округ","Октябрь",2017,1645372182
"351","Северо-Восточный административный округ","Октябрь",2017,1880232302
"352","Восточный административный округ","Октябрь",2017,2064157993
"353","Юго-Восточный административный округ","Октябрь",2017,1977656028
"354","Южный административный округ","Октябрь",2017,2198091250
"355","Юго-Западный административный округ","Октябрь",2017,2023230405
"356","Западный административный округ","Октябрь",2017,1669211003
"357","Северо-Западный административный округ","Октябрь",2017,1215543979
"358","Зеленоградский административный округ","Октябрь",2017,393035156
"359","Новомосковский административный округ","Октябрь",2017,196158895
"360","Троицкий административный округ","Октябрь",2017,72164546
"361","Центральный административный округ","Август",2017,1205424733
"362","Северный административный округ","Август",2017,1607047508
"363","Северо-Восточный административный округ","Август",2017,1835790790
"364","Восточный административный округ","Август",2017,2045619920
"365","Юго-Восточный административный округ","Август",2017,1947130098
"366","Южный административный округ","Август",2017,2149808763
"367","Юго-Западный административный округ","Август",2017,1996716575
"368","Западный административный округ","Август",2017,1629367936
"369","Северо-Западный административный округ","Август",2017,1190715684
"370","Зеленоградский административный округ","Август",2017,383138407
"371","Новомосковский административный округ","Август",2017,173925379
"372","Троицкий административный округ","Август",2017,66753026
"373","Центральный административный округ","Апрель",2018,1242811612
"374","Северный административный округ","Апрель",2018,1650462485
"375","Северо-Восточный административный округ","Апрель",2018,1889892109
"376","Восточный административный округ","Апрель",2018,2065005336
"377","Юго-Восточный административный округ","Апрель",2018,1970034555
"378","Южный административный округ","Апрель",2018,2212800937
"379","Юго-Западный административный округ","Апрель",2018,2049846950
"380","Западный административный округ","Апрель",2018,1662207285
"381","Северо-Западный административный округ","Апрель",2018,1218166477
"382","Зеленоградский административный округ","Апрель",2018,393904960
"383","Новомосковский административный округ","Апрель",2018,237445057
"384","Троицкий административный округ","Апрель",2018,97431933
"385","Центральный административный округ","Декабрь",2017,1258380754
"386","Северный административный округ","Декабрь",2017,1700823675
"387","Северо-Восточный административный округ","Декабрь",2017,1948327433
"388","Восточный административный округ","Декабрь",2017,2123730407
"389","Юго-Восточный административный округ","Декабрь",2017,2021091901
"390","Южный административный округ","Декабрь",2017,2246172239
"391","Юго-Западный административный округ","Декабрь",2017,2073623746
"392","Западный административный округ","Декабрь",2017,1718637220
"393","Северо-Западный административный округ","Декабрь",2017,1243914254
"394","Зеленоградский административный округ","Декабрь",2017,395068089
"395","Новомосковский административный округ","Декабрь",2017,249684238
"396","Троицкий административный округ","Декабрь",2017,107005796
"397","Центральный административный округ","Август",2018,1237711634
"398","Северный административный округ","Август",2018,1609269645
"399","Восточный административный округ","Август",2018,2050241252
"400","Юго-Восточный административный округ","Август",2018,1939833612
"401","Южный административный округ","Август",2018,2135184979
